transaction_id,amount,currency,payment_method,bank,merchant_category,hour,day_of_week,device_type,network_type,customer_age_days,previous_transactions,previous_failed_transactions,previous_attempts,transaction_velocity,is_new_device,bank_latency_ms,gateway_latency_ms,bank_success_rate,gateway_success_rate,payment_status,failure_reason
txn_00000001,11816.84,INR,DEBIT_CARD,HDFC,ECOMMERCE,12,4,MOBILE,WIFI,279,13,2,0,2,1,256,118,0.945,0.9817,0,
txn_00000002,186.16,INR,UPI,SBI,FOOD,22,3,MOBILE,WIFI,635,33,3,1,4,0,403,92,0.8665,0.9616,0,
txn_00000003,269.54,INR,UPI,HDFC,TRAVEL,18,2,DESKTOP,5G,340,24,4,0,2,0,230,200,0.9333,0.9486,0,
txn_00000004,2387.74,INR,DEBIT_CARD,SBI,EDUCATION,16,3,MOBILE,3G,272,13,1,0,6,0,1211,290,0.8904,0.9333,1,NETWORK_DROP
txn_00000005,1898.88,INR,UPI,HDFC,UTILITIES,9,2,MOBILE,4G,129,3,1,0,2,0,207,325,0.935,0.9243,0,
txn_00000006,372.69,INR,UPI,HDFC,FOOD,9,4,MOBILE,5G,450,26,10,0,2,1,206,160,0.9573,0.95,0,
txn_00000007,476.88,INR,UPI,SBI,FOOD,7,5,MOBILE,4G,34,0,0,0,1,0,228,367,0.879,0.9442,0,
txn_00000008,330.61,INR,DEBIT_CARD,AXIS,FOOD,20,5,MOBILE,3G,278,18,1,4,3,0,189,149,0.9394,0.9764,0,
txn_00000009,780.25,INR,UPI,SBI,ECOMMERCE,17,2,DESKTOP,WIFI,176,9,1,0,2,1,240,114,0.8961,0.9463,0,
txn_00000010,793.34,INR,NET_BANKING,HDFC,ECOMMERCE,18,3,MOBILE,5G,86,4,0,0,3,1,255,119,0.9507,0.9556,0,
txn_00000011,1489.98,INR,NET_BANKING,HDFC,UTILITIES,4,0,MOBILE,5G,354,22,1,2,2,1,69,126,0.9327,0.9429,0,
txn_00000012,7939.93,INR,UPI,HDFC,HEALTHCARE,22,6,MOBILE,5G,189,9,1,0,3,0,155,27,0.9369,0.9469,0,
txn_00000013,486.49,INR,DEBIT_CARD,HDFC,FOOD,20,1,MOBILE,5G,269,24,5,3,3,0,183,53,0.9584,0.9276,0,
txn_00000014,2314.0,INR,NET_BANKING,HDFC,ECOMMERCE,10,3,MOBILE,5G,64,3,0,1,2,1,109,123,0.931,0.9135,0,
txn_00000015,1054.15,INR,UPI,HDFC,ECOMMERCE,9,1,MOBILE,3G,57,6,0,3,3,1,280,278,0.933,0.9453,1,USER_AUTHENTICATION_ERROR
txn_00000016,339.36,INR,DEBIT_CARD,SBI,UTILITIES,9,4,DESKTOP,3G,635,32,4,0,4,0,635,245,0.8861,0.9394,1,BANK_DOWNTIME
txn_00000017,2997.69,INR,UPI,ICICI,ECOMMERCE,11,4,MOBILE,4G,52,4,1,1,3,0,333,80,0.9293,0.9381,0,
txn_00000018,5377.21,INR,UPI,ICICI,TRAVEL,15,2,MOBILE,4G,150,9,1,0,3,1,148,161,0.927,0.9562,0,
txn_00000019,1342.28,INR,DEBIT_CARD,HDFC,ECOMMERCE,13,4,MOBILE,4G,451,28,4,1,5,0,277,187,0.9383,0.9588,0,
txn_00000020,13251.18,INR,UPI,HDFC,TRAVEL,11,1,MOBILE,5G,248,21,1,0,3,0,131,162,0.9565,0.8982,0,
txn_00000021,2648.51,INR,UPI,ICICI,HEALTHCARE,17,5,MOBILE,5G,311,21,4,0,3,0,153,36,0.9129,0.9481,0,
txn_00000022,659.66,INR,UPI,SBI,FOOD,9,2,MOBILE,WIFI,569,26,7,0,2,1,55,141,0.8711,0.9591,0,
txn_00000023,546.12,INR,UPI,AXIS,ECOMMERCE,11,4,MOBILE,5G,598,45,12,0,4,0,597,230,0.8886,0.9376,0,
